ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Annotation
Mono-69_sleep-1,2162,Mono,69_sleep,ɨwi,ɨwi,,,Miller1984,69_sleep-1,false,,,
Mono-70_die-1,2194,Mono,70_die,etaa,etaa,,,Miller1984,70_die-9,false,,,"JHH /e/ might be from /ai/ ..., with meathesis in either Central Numic or Mono, but really Mono form is strange so have given it new code."
Mono-71_kill-1,2226,Mono,71_kill,pacca,pacca,,,Miller1984,71_kill-2,false,,,
Mono-72_fly-1,2258,Mono,72_fly,yocci,yocci,,,Miller1984,72_fly-1,false,,,
Mono-73_walk-1,2290,Mono,73_walk,nɨwi,nɨwi,,,Miller1984,73_walk-1,false,,,
Mono-74_come-1,2322,Mono,74_come,kimma,kimma,,,Miller1984,74_come-1,false,,,
Mono-75_lie-1,2354,Mono,75_lie,hapi,hapi,,,Miller1984,75_lie-1,false,,,
Mono-76_sitsitdown-1,2386,Mono,76_sitsitdown,qattɨ,qattɨ,,,Miller1984,76_sitsitdown-1,false,,,
Mono-77_standup-1,2418,Mono,77_standup,"wɨnɨ""","wɨnɨ""",,,Miller1984,77_standup-1,false,,,
Mono-78_throw-1,2450,Mono,78_throw,wɨna-ʔi,wɨna-ʔi,,,Miller1984,78_throw-1,false,,,
Mono-79_give-1,2482,Mono,79_give,kiya,kiya,,,Miller1984,79_give-1,false,,,
Mono-80_say-1,2514,Mono,80_say,ine,ine,,,Miller1984,80_say-1,false,,,
Mono-80_say-2,5309,Mono,80_say,inee,inee,,,Miller1984,80_say-1,false,,,
Mono-81_sing-1,2546,Mono,81_sing,hupia-ru,hupia-ru,,,Miller1984,81_sing-1,false,,,
Mono-82_sun-1,2578,Mono,82_sun,tape,tape,,,Miller1984,82_sun-1,false,,,
Mono-83_moon-1,2610,Mono,83_moon,tamɨʔa,tamɨʔa,,,Miller1984,83_moon-1,false,,,
Mono-84_star-1,2642,Mono,84_star,"tacinu""","tacinu""",,,Miller1984,84_star-1,false,,,
Mono-85_sky-1,2674,Mono,85_sky,tukuppa,tukuppa,,,Miller1984,85_sky-1,false,,,"(Ft. Indp. dialect, from Liljeblad)"
Mono-86_water-1,2706,Mono,86_water,paya,paya,,,Miller1984,86_water-1,false,,,
Mono-87_wind-1,2738,Mono,87_wind,"hɨkkwa""","hɨkkwa""",,,Miller1984,87_wind-1,false,,,
Mono-88_rain-1,2770,Mono,88_rain,tɨɨkkwa,tɨɨkkwa,,,Miller1984,88_rain-9,false,,,= verb
Mono-88_rain-2,5343,Mono,88_rain,tɨɨkwápe,tɨɨkwápe,,,Stubbs2011,88_rain-9,false,,,= noun
Mono-89_snow-1,2802,Mono,89_snow,nɨpa,nɨpa,,,Miller1984,89_snow-1,false,,,
Mono-90_stonerock-1,2834,Mono,90_stonerock,"tɨppi""","tɨppi""",,,Miller1984,90_stonerock-1,false,,,
Mono-91_sand-1,2866,Mono,91_sand,"passiwa""","passiwa""",,,Miller1984,91_sand-1,false,,,
Mono-92_earth-1,2898,Mono,92_earth,"tɨpi""","tɨpi""",,,Miller1984,92_earth-1,false,,,
Mono-93_salt-1,2930,Mono,93_salt,omma,omma,,,Miller1984,93_salt-1,false,,,
Mono-94_cloud-1,2962,Mono,94_cloud,toö,toö,,,Miller1984,94_cloud-1,false,,,
Mono-95_smoke-1,2994,Mono,95_smoke,"kuk-kuhi""","kuk-kuhi""",,,Miller1984,95_smoke-1,false,,,
Mono-96_fire-1,3026,Mono,96_fire,qoso,qoso,,,Miller1984,96_fire-1,false,,,
Mono-97_ash-1,3058,Mono,97_ash,esiya,esiya,,,Miller1984,97_ash-7,false,,,
Mono-98_burn-1,3090,Mono,98_burn,pita,pita,,,Miller1984,98_burn-7,false,,,
Mono-99_pathroad-1,3122,Mono,99_pathroad,poyo,poyo,,,Miller1984,99_pathroad-1,false,,,
Mono-100_mountain-1,3154,Mono,100_mountain,toya,toya,,,Miller1984,100_mountain-1,false,,,
Mono-101_red-1,3186,Mono,101_red,aqqa-pono,aqqa-pono,,,Miller1984,101_red-1,false,,,
Mono-102_green-1,3218,Mono,102_green,puhi-tuwa,puhi-tuwa,,,Miller1984,102_green-1,false,,,
Mono-103_yellow-1,3250,Mono,103_yellow,oha-pono,oha-pono,,,Miller1984,103_yellow-1,false,,,
Mono-104_white-1,3282,Mono,104_white,tocci-pono,tocci-pono,,,Miller1984,104_white-1,false,,,
Mono-105_black-1,3314,Mono,105_black,tummu,tummu,,,Miller1984,105_black-1,false,,,
Mono-106_night-1,3346,Mono,106_night,toqa,toqa,,,Miller1984,106_night-1,false,,,
Mono-107_name-1,3378,Mono,107_name,na-niya-nna,na-niya-nna,,,Miller1984,107_name-1,false,,,
Mono-108_year-1,3410,Mono,108_year,too,too,,,Miller1984,108_year-1,false,,,
Mono-110_three-1,3699,Mono,110_three,pahí-i/tu,pahí-i,,,Miller1984,110_three-1,false,,,
Mono-110_three-2,3699,Mono,110_three,pahí-i/tu,tu,,,Miller1984,110_three-1,false,,,
Mono-111_four-1,3734,Mono,111_four,wacikwí-i/tu,wacikwí-i,,,Miller1984,111_four-1,false,,,
Mono-111_four-2,3734,Mono,111_four,wacikwí-i/tu,tu,,,Miller1984,111_four-1,false,,,
Mono-112_five-1,3768,Mono,112_five,manigí-i/tu,manigí-i,,,Miller1984,112_five-1,false,,,
Mono-112_five-2,3768,Mono,112_five,manigí-i/tu,tu,,,Miller1984,112_five-1,false,,,
Mono-113_six-1,3802,Mono,113_six,naabahí-i/tu,naabahí-i,,,Miller1984,113_six-1,false,,,
Mono-113_six-2,3802,Mono,113_six,naabahí-i/tu,tu,,,Miller1984,113_six-1,false,,,
Mono-114_i-1,4074,Mono,114_i,nɯ,nɯ,,,Miller1984,114_i-1,false,,,
Mono-115_yousing-1,4109,Mono,115_yousing,ɯh,ɯh,,,Miller1984,115_yousing-2,false,,,
