Grapheme	IPA
·$	NULL
·-	+
·-$	NULL
·s	+ s
·w	+ w
·w̉	+ w̉/w
ð$	ð
ê	ê/e
ú	ú/u
ú$	ú/u
úa	ú/u a
úú$	úú/uː
úe	ú/u e
úi$	úi/ui
ú̧	ú̧/ũ
ú̧$	ú̧/ũ
úu	úu/uː
úuyái$	úu/uː y/j ái/ai
úuyi	úu/uː y/j i
úy$	úy/ui
úyái$	ú/i y/j ái/ai
úya$	ú/u y/j a
b	b
b$	b
bb	bː
bh	bʱ
bs	b s
bs$	b s
c	ts
ǫǫ$	ǫǫ/õː
ǫ́	ǫ́/õ
ǫ́$	ǫ́/õ
ǫ́ǫ́$	ǫ́ǫ́/ɔ̃ː
ǫ́s	ǫ́/õ s
ǫ̂$	ǫ̂/o
ǫ̂ǫ̂$	ǫ̂ǫ̂/õː
ǫ̨̂	ǫ̨̂/o
c$	ts
c'	tsˀ
ǽ	æ
ǽ̧	æ̃
ǽ̧$	æ̃
cc	tsː
ch	ch/tʃ
ch$	ch/tʃ
chw	chw/tʃ w
c̉	c̉/ts
c̣	c̣/ʈʂ
c̣$	c̣/ʈʂ
c̣c̣$	c̣c̣/ʈʂː
c̱	c̠/ts
d	d
d$	d
dd	dː
dʔ	dˀ
dʸ	dʲ
dh	dʱ
dy	d y/j
e	e
ʃ	ʃ
ʃ$	ʃ
ʃʔ	ʃˀ
ɉ	j
ɑ	ɑ
ɑ$	ɑ
ɑɑ	ɑː
ɑi	ɑi
ɑ́$	ɑ́/ɑ
ɑ́i	ɑ́i/ai
ɑ́i$	ɑ́i/ai
ɑ̄	ɑ̄/ɑː
ɑ̄$	ɑ̄/aː
ɑ̄i	ɑ̄i/aːi
ɑ̄́	ɑ́/ɑ
ɑ̓	ɑ̓/a
ɑi$	ɑi
ɑ̱	ɑ̠
ɑ̱$	ɑ̠
ɑ̱̄	ɑ̠̄
ɑ̱̓	ɑ
ɑu	ɑu
ɑu$	ɑu
ɔ	ɔ
ʔ	ʔ
ɔ$	ɔ
ʔ$	ʔ
ʔŋ	ˀŋ
ʔč	ˀtʃ
ʔc	ˀtʃ
ʔʔ	ʔː
ʔh	ʔ h
ʔ̈$	ʔ̈/ʔ
ʔj	ˀdʒ
ʔk	ˀk
ʔl	ˀl
ʔm	ˀm
ʔn	ˀn
ʔp	ʔp
ʔq	ˀq
ʔr	ˀr
ʔs	ˀs
ʔt	ˀt
ʔtʃ	ˀtʃ
ʔw	ˀw
ʔy	ʔy/ˀj
ʔṣ	ˀʂ
ɖ	ɖ/ð
ə	ə
ə̱	ə̠
ɛ̃	ɛ̃
ɛ̃̄̀$	ɛ̃̀
e$	e
E$	E/e
ȼ	ȼ/tʃ
ȼ$	ȼ/tʃ
ɲ	ɲ
ɲʔ	ɲˀ
e:	eː
ȩ	ẽ
ȩ́	ẽ
ea	e a
ea$	e a
ee	eː
ee$	eː
eei$	eːi
ee̱$	e̠ː
eeya	ee/eː y/j a
eeyi$	ee/eː y/j i
eɨ	eɨ
eɨ$	eɨ
ei	ei
e̓$	e̓/e
ei$	ei
e̱	e̠
e̱$	e̠
eia	e i/j a
ei̱	ei̠/ei
eiye$	ei y/j e
eo	e o
eu	eu
eua	e u/w a
eua$	e u/w a
ey$	ey/ei
eya	e y/j a
eya$	e y/j a
eye$	e y/j e
eyi$	e y/j i
eyu$	e y/j u
ɨ	ɨ
ɨ$	ɨ
ɨa	ɨ a
ɨá	ɨ á/a
ɨa$	ɨ a
ɨí̵	ɨí̵/ɨː
ɨaa	ɨ aː
ɨai$	ɨ ai
ɨe	ɨ e
ɨe$	ɨ e
ɨɨ	ɨː
ɨɨ$	ɨː
ɨɨaa$	ɨː aː
ɨɨya	ɨɨ/ɨː y/j a
ɨɨya$	ɨɨ/ɨː y/j a
ɨi	ɨi
ɨi$	ɨi
ɨo	ɨ o
ɨu$	ɨu
ɨy	ɨ y/j
ɨya$	ɨ y/j a
ɨyai$	ɨ y/j ai
ɨyú	ɨ y/j ú/u
ɯ	ɯ
ɯ$	ɯ
ɯ́$	ɯ́/ɯ
ɯ̄	ɯ̄/ɯ
ɯ̄$	ɯ̄/ɯː
ɯ̄̌	ɯ̌/ɯ
ɯ̥$	ɯ̥/ɯ
ɪ	ɪ
ɪ$	ɪ
f	f
g	g
g$	g
gʔ	gˀ
gg	gː
gh	gʱ
gs$	g s
gw	g w
h	h
h$	h
hʷ	hʷ
hh	hː
hk	ʰk
hs	h s
hw	h w
i	i
I	I/ɪ
i$	i
I$	I/ɪ
β	β
ββ	βː
i:	iː
ia	i a
iá	i á/a
ia$	i a
ií	íː/iː
iaa	i aː
iaa$	i aː
iaú$	i aú/au
iai$	i ai
ie	i e
iɑ$	i ɑ
ie$	i e
iee	i eː
ieyii$	ie y/j ii/iː
iɨ	iɨ
iɨ$	iɨ
iɨo	iɨ o
ii	iː
i̓	i̓/i
ii$	iː
i̱	i̠
i̱$	i̠
iia$	iː a
iiya	ii/iː y/j a
iiyaa	ii/iː y/j aa/aː
io	i o
io$	i o
iu	i u
iu$	i u
iy	i y/j
iy$	iy/iː
iya	i y/j a
iyá	i y/j á/a
iyá$	i y/j á/a
iya$	i y/j a
iya:	i y/j aː
iyaa	i y/j aa/aː
iye$	i y/j e
iyɨ$	i y/j ɨ
iyɨ̈$	i y/j ɨ̈/ɨ
iyo	i y/j o
j	j/dʒ
j$	j
jʔ	dʒˀ
k	k
k$	k
k'	kˀ
k'ᴐ́	kˀ ɔ
kˈ	kˀ
kʔ	kˀ
kʷ	kʷ/kʷ
kh	kʰ
k̉	kʲ
kk	kː
kkʔ	kːˀ
kkʷ	kʷː
ks$	k s
ksh	k sh/ʃ
kw	kʷ
kw$	kʷ
l	l
l$	l
l'	lˀ
lʔ	lˀ
lh	lh/l̥
lh$	lh/l̥
lhlh	lh/l̥ː
ll	lː
lw	l w
m	m
m$	m
mʔ	mˀ
mh	m h
m̉	m̉/m
mm	mː
mm$	mː
ms	m s
mw	m w
n	n
n$	n
nʒ	n ʒ
nʔ	nˀ
nh	n h
n̉	n̉/n
nn	nː
ns	n s
nw	n w
ny	nʲ
o	o
o$	o
o:	oː
oa	o a
oá	o á/a
oa$	o a
oã$	o ã
oí$	oí/oi
oai$	o ai
oe$	o e
oeye	o e y/j e
oi	oi
oi$	oi
oo	oː
oo$	oː
ooa$	oː a
ooí	oːi
ooy$	oːy/oːi
ou	ou
ou$	ou
ouae	ou a e
oy	o y/j
oya	o y/j a
oyá	o y/j á/a
oya$	o y/j a
oye	o y/j e
oyo	o y/j o
oyo$	o y/j o
oyu$	o y/j u
p	p
p$	p
p'	pˀ
pʰ	pʰ
p̱	p̠
pp	pː
ps	p s
pw	p w
q	q
q$	q
qʔ	qˀ
qq	qː
que	qu/k e
que$	qu/k e
qw	q w
qws	q w s
r	r
r$	r
rh	rh/r̥
r̉	r̉/r
rr	rr/rː
s	s
s$	s
sh	sh/ʃ
shsh	shsh/ʃː
ss	sː
ss$	sː
sw	s w
t	t
t$	t
t'	tˀ
tˀ	tˀ
tʃ	tʃ
tʃ$	tʃ
tʃtʃ	tʃː
tˈ	tˀ
tʔ	tˀ
tˢ	tˢ/ts
tˢ$	ts
tˢʔ	tˢ/tsˀ
tʰ	tʰ
th	tʰ
t̉	t̉/tʲ
ts	ts
ts$	ts
ts'	tsˀ
tt	tː
tt$	tː
ttʔ	tːˀ
tw	t w
ty	tʲ
ty7	tʲˀ
u	u
U$	u
u$	u
u:$	uː
ua	u a
uá	u á/a
uá$	u á/a
uáa	u áa/aː
ua$	u a
uí	uí/ui
uí$	uí/ui
uaa	u aː
uaú$	u aú/au
uae	u ae
uai	u/w ai
uú	uú/uː
ue$	u e
uei$	u ei
ui	ui
u̓$	u̓/u
ui$	ui
u̱	u̠
u̱$	u̠
u̱ɑ	u̠/w ɑ
u̱̓	u̠̓/u
u̧	u̧/ũ
u̧u̧	u̧u̧/ũː
uia	u i/j a
uia$	u i/j a
uu	uː
uu$	uː
uu̱$	u̠ː
uy	u y/j
uy$	uy/ui
uya$	u y/j a
uyi$	u y/j i
uyu	u y/j u
uyu$	u y/j u
uyui$	u y/j ui
uyuu	u y/j uu/uː
v	v
V	V/ə
V$	NULL
v$	v
vʔ	vˀ
W	w
w	w
w$	w
wʔ	wˀ
wh	wh/w̥
w̉	w̉/w
ws	w s
x	x
x$	x
xʔ	xˀ
x̣$	x̣/x
xw	x w
Y	y
y	y
y$	y
ya	y/j a
yá	y/j á/a
yá$	y/j á/a
yáa	y/j áa/aː
yáu	y/j áu/au
ya$	y/j a
yay	y/j ai
yæ̧æ̧$	y/j æ̧æ̧/æ̃ː
yæ̧̂æ̧$	y/j æ̧̂æ̧/æ̃ː
ye	y/j e
ye$	y/j e
yee$	y/j eː
yei$	y/j ei
yɨ	y/j ɨ
yɨ$	y/j ɨ
yi	y/j i
yi$	y/j i
y̨	y̨/j
y̨$	y̨/j
yo	y/j o
yo$	y/j o
yo:	y/j oː
yu	y/j u
yu$	y/j u
yᴀ$	y/j ɑ̟
z	z
z$	z
zʔ	zˀ
zz	zː
^	NULL
^'ch	ˀtʃ
^-	NULL
^7	7/ʔ
^7c	7c/ˀts
^7ch	7ch/ˀtʃ
^7jt	ˀdʒ t
^7k	ˀk
^7nyk	ˀn y k
^7s	ˀs
^7t	ˀt
^7v	ˀv
^7w	ˀw
^7y7	ʔ y ʔ
^a	a
^ā	ā/aː
^ą́ą́$	ãː
^ŋ	ŋ
^ŋʔ	ŋˀ
^ō	ō/oː
^č	tʃ
^ōh	ō/oː h
^ō̱	ō̠/oː
^čw	č/tʃ w
^à	à/a
^á	á/a
^š	ʃ
^áa	áa/aː
^áá	áá/aː
^áá$	áá/aː
^ái	ái/ai
^š̉	š̉/ʂ
^áy	áy/ai
^ī	ī/iː
^ī́	í/i
^ī̱	ī̠/iː
^û	û/u
^ä	ä/æ
^äh	ä/æ h
^â	â/a
^ñ	ɲ
^í	í/i
^ĭ	ĭ
^í$	í/i
^íi	íi/iː
^í̵	í̵/ɨ
^í̵ɨ	í̵ɨ/ɨː
^òò	òò/oː
^ó	ó/o
^óh	ó/o h
^ów	ów/ou
^ö	ö/ø
^öö	öö/øː
^é	é/e
^ũ	ũ
