ID	LOCAL_ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
2629	utoaztecan-Yaqui-121_all-1	utoaztecan-Yaqui	ALL	all	tˢikti	tˢikti	ts i k t i	utoaztecan-121_all-13	942	2 7 1 1 7	AXMBZ	CIKTI	37	37.C.C 37.I.V 37.K.c 37.T.C 37.I.V	2.0 1.5 1.1 1.75 0.8	tsikti	0	17
2763	utoaztecan-Cora-121_all-1	utoaztecan-Cora	ALL	all	hei̱tˢe̓	hei̱tˢe̓	h ei ts e	utoaztecan-121_all-16	1001	3 7 2 7	AXBZ	HECE	8	8.H.C 8.E.V 8.C.C 8.E.V	2.0 1.5 1.75 0.8	heitse	0	7
2915	utoaztecan-Huichol-121_all-1	utoaztecan-Huichol	ALL	all	nɑ́itɯ	nɑ́itɯ	n ai t ɯ	utoaztecan-121_all-15	1045	4 7 1 7	AXBZ	NATI	14	14.N.C 14.A.V 14.T.C 14.I.V	2.0 1.5 1.75 0.8	naitɯ	0	1
2916	utoaztecan-Huichol-121_all-2	utoaztecan-Huichol	ALL	all	junɑ́itɯ	junɑ́itɯ	dʒ u n ai t ɯ	utoaztecan-121_all-15	1045	1 7 4 7 1 7	AXBYBZ	TYNATI	14	14.T.C 14.Y.V 14.N.C 14.A.V 14.T.C 14.I.V	2.0 1.5 1.75 1.3 1.75 0.8	dʒunaitɯ	0	1
2917	utoaztecan-Huichol-121_all-3	utoaztecan-Huichol	ALL	all	nɑ́i	nɑ́i	n ai	utoaztecan-121_all-15	1045	4 7	AX	NA	14	14.N.C 14.A.V	2.0 1.5	nai	0	1
3055	utoaztecan-ClassicalAztec-121_all-1	utoaztecan-ClassicalAztec	ALL	all	motʃ	motʃ	m o tʃ	utoaztecan-121_all-11	1104	4 7 1	AXN	MUT	5	5.M.C 5.U.V 5.T.c	2.0 1.5 0.8	motʃ	0	5
3056	utoaztecan-ClassicalAztec-121_all-2	utoaztecan-ClassicalAztec	ALL	all	motʃi	motʃi	m o tʃ i	utoaztecan-121_all-11	1104	4 7 1 7	AXBZ	MUTI	5	5.M.C 5.U.V 5.T.C 5.I.V	2.0 1.5 1.75 0.8	motʃi	0	5
3057	utoaztecan-ClassicalAztec-121_all-3	utoaztecan-ClassicalAztec	ALL	all	īxkitʃ	īxkitʃ	iː x k i tʃ		1105	7 3 1 7 1	XMBYN	IGKIT	5	5.I.V 5.G.c 5.K.C 5.I.V 5.T.c	1.5 1.1 1.75 1.3 0.8	iːxkitʃ	0	46
3190	utoaztecan-Pannamint-121_all-1	utoaztecan-Pannamint	ALL	all	wɯmm	wɯmm	w ɯ mː		1134	6 7 4	AXN	WIM	24	24.W.C 24.I.V 24.M.c	2.0 1.5 0.8	wɯmː	0	22
3191	utoaztecan-Pannamint-121_all-2	utoaztecan-Pannamint	ALL	all	ojōntɯ	ojōntɯ	o dʒ oː n t ɯ	utoaztecan-121_all-1	703	7 1 7 4 1 7	XBYMBZ	UTUNTI	24	24.U.V 24.T.C 24.U.V 24.N.c 24.T.C 24.I.V	1.5 1.75 1.3 1.1 1.75 0.8	odʒoːntɯ	0	6
3192	utoaztecan-Pannamint-121_all-3	utoaztecan-Pannamint	ALL	all	ojōntɯsɯ	ojōntɯsɯ	o dʒ oː n t ɯ s ɯ	utoaztecan-121_all-1	703	7 1 7 4 1 7 3 7	XBYMBYBZ	UTUNTISI	24	24.U.V 24.T.C 24.U.V 24.N.c 24.T.C 24.I.V 24.S.C 24.I.V	1.5 1.75 1.3 1.1 1.75 1.3 1.75 0.8	odʒoːntɯsɯ	0	6
3193	utoaztecan-Pannamint-121_all-4	utoaztecan-Pannamint	ALL	all	sɯmɯsɯ	sɯmɯsɯ	s ɯ m ɯ s ɯ		1135	3 7 4 7 3 7	AXBYBZ	SIMISI	24	24.S.C 24.I.V 24.M.C 24.I.V 24.S.C 24.I.V	2.0 1.5 1.75 1.3 1.75 0.8	sɯmɯsɯ	0	18
3336	utoaztecan-AztecTetelcingo-121_all-1	utoaztecan-AztecTetelcingo	ALL	all	notʃi	notʃi	n o tʃ i	utoaztecan-121_all-11	1104	4 7 1 7	AXBZ	NUTI	1	1.N.C 1.U.V 1.T.C 1.I.V	2.0 1.5 1.75 0.8	notʃi	0	1
3462	utoaztecan-AztecZacapoaxtla-121_all-1	utoaztecan-AztecZacapoaxtla	ALL	all	noči	noči	n o tʃ i	utoaztecan-121_all-11	1104	4 7 1 7	AXBZ	NUTI	2	2.N.C 2.U.V 2.T.C 2.I.V	2.0 1.5 1.75 0.8	notʃi	0	1
3607	utoaztecan-Pipil-121_all-1	utoaztecan-Pipil	ALL	all	mutʃi	mutʃi	m u tʃ i	utoaztecan-121_all-11	1104	4 7 1 7	AXBZ	MYTI	27	27.M.C 27.Y.V 27.T.C 27.I.V	2.0 1.5 1.75 0.8	mutʃi	0	5
3723	utoaztecan-SoutheasternTepehuan-121_all-1	utoaztecan-SoutheasternTepehuan	ALL	all	vɯʃ	vɯʃ	v ɯ ʃ	utoaztecan-121_all-19	611	3 7 3	AXN	BIS	31	31.B.C 31.I.V 31.S.c	2.0 1.5 0.8	vɯʃ	0	20
3868	utoaztecan-Kitanemuk-121_all-1	utoaztecan-Kitanemuk	ALL	all	puju	puju	p u dʒ u	utoaztecan-121_all-8	296	1 7 1 7	AXBZ	PYTY	17	17.P.C 17.Y.V 17.T.C 17.Y.V	2.0 1.5 1.75 0.8	pudʒu	0	15
4104	utoaztecan-SanJuanPuebloTewa-121_all-1	utoaztecan-SanJuanPuebloTewa	ALL	all	t̓ɛ̃hkíh	t̓ɛ̃hkíh	tʲ ɛ̃ ʰk i h	utoaztecan-121_all-20	1381	1 7 1 7 3	AXBYN	TEKIH	28	28.T.C 28.E.V 28.K.C 28.I.V 28.H.c	2.0 1.5 1.75 1.3 0.8	tʲɛ̃ʰkih	0	26
4233	utoaztecan-ShoshoniGosiute-121_all-1	utoaztecan-ShoshoniGosiute	ALL	all	ojōn	ojōn	o dʒ oː n	utoaztecan-121_all-1	703	7 1 7 4	XBYN	UTUN	30	30.U.V 30.T.C 30.U.V 30.N.c	1.5 1.75 1.3 0.8	odʒoːn	0	6
4514	utoaztecan-Comanche-121_all-1	utoaztecan-Comanche	ALL	all	ojɯ̥	ojɯ̥	o dʒ ɯ	utoaztecan-121_all-1	703	7 1 7	XBZ	UTI	6	6.U.V 6.T.C 6.I.V	1.5 1.75 0.8	odʒɯ	0	6
4515	utoaztecan-Comanche-121_all-2	utoaztecan-Comanche	ALL	all	ojo-	ojo-	o dʒ o	utoaztecan-121_all-1	703	7 1 7	XBZ	UTU	6	6.U.V 6.T.C 6.U.V	1.5 1.75 0.8	odʒo	0	6
4788	utoaztecan-Kawaiisu-121_all-1	utoaztecan-Kawaiisu	ALL	all	monojo	monojo	m o n o dʒ o	utoaztecan-121_all-3	1723	4 7 4 7 1 7	AXBYBZ	MUNUTU	15	15.M.C 15.U.V 15.N.C 15.U.V 15.T.C 15.U.V	2.0 1.5 1.75 1.3 1.75 0.8	monodʒo	0	4
4924	utoaztecan-Chemehuevi-121_all-1	utoaztecan-Chemehuevi	ALL	all	mɑnno	mɑnno	m ɑ nː o	utoaztecan-121_all-3	1723	4 7 4 7	AXBZ	MANU	4	4.M.C 4.A.V 4.N.C 4.U.V	2.0 1.5 1.75 0.8	mɑnːo	0	4
5058	utoaztecan-SouthernPaiute-121_all-1	utoaztecan-SouthernPaiute	ALL	all	mano-	mano-	m a n o	utoaztecan-121_all-3	1723	4 7 4 7	AXBZ	MANU	32	32.M.C 32.A.V 32.N.C 32.U.V	2.0 1.5 1.75 0.8	mano	0	4
5059	utoaztecan-SouthernPaiute-121_all-2	utoaztecan-SouthernPaiute	ALL	all	manu-	manu-	m a n u	utoaztecan-121_all-3	1723	4 7 4 7	AXBZ	MANY	32	32.M.C 32.A.V 32.N.C 32.Y.V	2.0 1.5 1.75 0.8	manu	0	4
